经度,-6.0361,,
纬度,37.3609,,
开始时间,2022年01月01日 00时,,
结束时间,2022年01月20日 23时,,
时区,GMT+02:00,,
数据源,美国国家航空航天局,,
风机型号,GW_1.5_70,,
轮毂高度(m),70.0,,
装机容量(MW),1.5,,
,,,
日期,时间,输出功率(MW),风速(m/s)
2022-01-01,00:00:00,0.5581548891623251,8.069833584678108
2022-01-01,01:00:00,0.5244217729763595,7.898107674597497
2022-01-01,02:00:00,0.5022959444202961,7.77093027163036
2022-01-01,03:00:00,0.48920260350674655,7.693890278517081
2022-01-01,04:00:00,0.46896554284076036,7.57850510488225
2022-01-01,05:00:00,0.43721055234997674,7.402303533545869
2022-01-01,06:00:00,0.3989364961160755,7.192655692892827
2022-01-01,07:00:00,0.37677714272255025,7.070781195482435
2022-01-01,08:00:00,0.3777163602070282,7.074310585480102
2022-01-01,09:00:00,0.3527810534334136,6.916391605805238
2022-01-01,10:00:00,0.3099222983413777,6.625758466375914
2022-01-01,11:00:00,0.08267959919970581,4.37021199197031
2022-01-01,12:00:00,0.004935866045463214,2.456797412232923
2022-01-01,13:00:00,0.0,1.2789295806811787
2022-01-01,14:00:00,0.0,0.9774051346141828
2022-01-01,15:00:00,0.0,1.0833018972226809
2022-01-01,16:00:00,0.0,1.3272876736749406
2022-01-01,17:00:00,0.0,1.4431340396465389
2022-01-01,18:00:00,0.0,1.5594727940922217
2022-01-01,19:00:00,0.0,1.6187586074364306
2022-01-01,20:00:00,0.0,1.8314870480819556
2022-01-01,21:00:00,0.0023022044200018328,2.211454078617333
2022-01-01,22:00:00,0.003787314482405857,2.3469434992095564
2022-01-01,23:00:00,0.0,1.9766930883339797
2022-01-02,00:00:00,0.0,1.8635266641073445
2022-01-02,01:00:00,0.004518871436664419,2.4118259131791246
2022-01-02,02:00:00,0.009349699037965035,2.8488744099800534
2022-01-02,03:00:00,0.015461643178995009,3.0929755382172885
2022-01-02,04:00:00,0.039212358085015726,3.590421514735071
2022-01-02,05:00:00,0.07079948106750053,4.172555498623607
2022-01-02,06:00:00,0.1070102693840002,4.694005719806955
2022-01-02,07:00:00,0.14800206369850713,5.1978608957947845
2022-01-02,08:00:00,0.19195838931991724,5.638859348517675
2022-01-02,09:00:00,0.22733953260409692,5.9933805905959
2022-01-02,10:00:00,0.2518671267120582,6.18870595839419
2022-01-02,11:00:00,0.10983625051865871,4.758640288090721
2022-01-02,12:00:00,0.03589501410519444,3.534002025225413
2022-01-02,13:00:00,0.00977690635331134,2.9056327516638323
2022-01-02,14:00:00,0.005333825538676211,2.4980713589467314
2022-01-02,15:00:00,0.004442966608490471,2.4174007895548186
2022-01-02,16:00:00,0.004621926956343378,2.435297611947354
2022-01-02,17:00:00,0.003932298755975432,2.3698503205838817
2022-01-02,18:00:00,0.001532965771250589,2.1430982684580226
2022-01-02,19:00:00,0.0024565868433685874,2.2278553545211985
2022-01-02,20:00:00,0.008476048830322191,2.781652509936468
2022-01-02,21:00:00,0.04034399952223493,3.6270840538198335
2022-01-02,22:00:00,0.09938905272421471,4.605826757420475
2022-01-02,23:00:00,0.19043132119964043,5.651483108677671
2022-01-03,00:00:00,0.3242121953202126,6.7230079757829655
2022-01-03,01:00:00,0.4596512061522761,7.527658308408545
2022-01-03,02:00:00,0.5291820681886246,7.904095057058182
2022-01-03,03:00:00,0.5280266778443399,7.895955706445998
2022-01-03,04:00:00,0.49423345814386943,7.710919580738567
2022-01-03,05:00:00,0.44738334929535545,7.455860532183433
2022-01-03,06:00:00,0.38426871704079696,7.1129863366378965
2022-01-03,07:00:00,0.3278945952804959,6.7409316364816005
2022-01-03,08:00:00,0.2837347019974791,6.419308298427682
2022-01-03,09:00:00,0.24052354607445503,6.105242111258574
2022-01-03,10:00:00,0.19151409228621497,5.665514052482643
2022-01-03,11:00:00,0.05453783305177601,3.9322648294099096
2022-01-03,12:00:00,0.00787945992056273,2.730415722169666
2022-01-03,13:00:00,0.0,1.578501267900455
2022-01-03,14:00:00,0.0,0.794910157258981
2022-01-03,15:00:00,0.0,0.3088772967565933
2022-01-03,16:00:00,0.0,0.8034441315815528
2022-01-03,17:00:00,0.0,1.7911861388462167
2022-01-03,18:00:00,0.024848439766197505,3.309123463736165
2022-01-03,19:00:00,0.06708257123961504,4.147600534129784
2022-01-03,20:00:00,0.06972571328124587,4.182876974042337
2022-01-03,21:00:00,0.04862122523054119,3.8092949767491455
2022-01-03,22:00:00,0.02347125979286974,3.2703274721544364
2022-01-03,23:00:00,0.008578235502299402,2.790397543870769
2022-01-04,00:00:00,0.0036994037182111477,2.340782355834833
2022-01-04,01:00:00,0.0,1.9567814879721486
2022-01-04,02:00:00,0.0,1.9414592985581633
2022-01-04,03:00:00,0.00240580448017367,2.2205840166689743
2022-01-04,04:00:00,0.006227232890131755,2.569634054862413
2022-01-04,05:00:00,0.008883379332359814,2.810729242036815
2022-01-04,06:00:00,0.0176263680663755,3.1407122046589033
2022-01-04,07:00:00,0.03980710314580465,3.6079974580210012
2022-01-04,08:00:00,0.07370233568710187,4.221449077858475
2022-01-04,09:00:00,0.14320081869930643,5.164117443086227
2022-01-04,10:00:00,0.21033621332878805,5.872124661986688
2022-01-04,11:00:00,0.14896965702156045,5.25639366117871
2022-01-04,12:00:00,0.42077789335109855,7.393053048234432
2022-01-04,13:00:00,0.7860368041615781,9.136320115008463
2022-01-04,14:00:00,1.0186439499552524,10.052841581799166
2022-01-04,15:00:00,1.2254412333957316,10.803012914105615
2022-01-04,16:00:00,1.3249187479353186,11.21919917670661
2022-01-04,17:00:00,1.3431745012957372,11.277207805999648
2022-01-04,18:00:00,1.200563078340529,10.634574180648432
2022-01-04,19:00:00,1.1430116087902966,10.393039648212003
2022-01-04,20:00:00,0.9749051750084279,9.762212892725236
2022-01-04,21:00:00,0.8071269170241244,9.11370723706392
2022-01-04,22:00:00,0.7554358032271866,8.897681869289157
2022-01-04,23:00:00,0.7011164588603156,8.65786029000496
2022-01-05,00:00:00,0.6701113711647442,8.519415822630384
2022-01-05,01:00:00,0.6353123128348191,8.367212800126126
2022-01-05,02:00:00,0.5499836853758622,8.003117655374963
2022-01-05,03:00:00,0.4448382108078335,7.4389867345742395
2022-01-05,04:00:00,0.3826501151505858,7.1022755482313356
2022-01-05,05:00:00,0.3663363031873657,7.011193206679652
2022-01-05,06:00:00,0.2800011435924872,6.391298828025562
2022-01-05,07:00:00,0.24970660369870182,6.1722651595303715
2022-01-05,08:00:00,0.18350985303926007,5.56776986921282
2022-01-05,09:00:00,0.1592706201376025,5.322321092154458
2022-01-05,10:00:00,0.12650740527324655,4.987517651917134
2022-01-05,11:00:00,0.1138031146827804,4.809641224482533
2022-01-05,12:00:00,0.20609880275352968,5.831420792269301
2022-01-05,13:00:00,0.3074113148534512,6.649805851774506
2022-01-05,14:00:00,0.3698497220420476,7.098254782818101
2022-01-05,15:00:00,0.4190839942346763,7.381244361187724
2022-01-05,16:00:00,0.47552683642327853,7.700375740894614
2022-01-05,17:00:00,0.4940585371474343,7.8006139509289305
2022-01-05,18:00:00,0.5215656910981572,7.937063134356996
2022-01-05,19:00:00,0.6406825657119603,8.443202595543642
2022-01-05,20:00:00,0.7104398517134468,8.740732115283093
2022-01-05,21:00:00,0.733701284206077,8.837798279280427
2022-01-05,22:00:00,0.8465600850836055,9.284334199907988
2022-01-05,23:00:00,0.7986106849245966,9.104021578911452
2022-01-06,00:00:00,0.7697977904544206,8.996202715092593
2022-01-06,01:00:00,0.7881274612110079,9.072259720871953
2022-01-06,02:00:00,0.8135543708555031,9.17160480785756
2022-01-06,03:00:00,0.7406917310994199,8.861372717745754
2022-01-06,04:00:00,0.7315834844873971,8.80222381131256
2022-01-06,05:00:00,0.6904267976390328,8.615503447405661
2022-01-06,06:00:00,0.643004065050581,8.407814415615134
2022-01-06,07:00:00,0.6705191172227767,8.521187810517606
2022-01-06,08:00:00,0.6905649906703374,8.603948837172506
2022-01-06,09:00:00,0.6658103370926548,8.497743375449167
2022-01-06,10:00:00,0.4822029087531435,7.653303526243298
2022-01-06,11:00:00,0.2694286411085332,6.335816187028863
2022-01-06,12:00:00,0.14989879134030917,5.254947001676213
2022-01-06,13:00:00,0.059962146032794,4.040927269152868
2022-01-06,14:00:00,0.021211750853534186,3.2269959688377874
2022-01-06,15:00:00,0.01068742188425855,2.9990661335595195
2022-01-06,16:00:00,0.014722653255286829,3.0878705656486707
2022-01-06,17:00:00,0.027924672150635318,3.374263170406026
2022-01-06,18:00:00,0.05363642153654957,3.9228585775218145
2022-01-06,19:00:00,0.11934931132701558,4.907060002566945
2022-01-06,20:00:00,0.25011454884729356,6.193549359164734
2022-01-06,21:00:00,0.39551320027173276,7.185002012531861
2022-01-06,22:00:00,0.4988217447524116,7.739188201643546
2022-01-06,23:00:00,0.5252438766813952,7.875114619983624
2022-01-07,00:00:00,0.5139252513513216,7.807185144100942
2022-01-07,01:00:00,0.49794866573048074,7.71540559482246
2022-01-07,02:00:00,0.49996546216676335,7.721896990420121
2022-01-07,03:00:00,0.5022106418894381,7.730089146834752
2022-01-07,04:00:00,0.5070633379257168,7.752141125873325
2022-01-07,05:00:00,0.4923520747393258,7.67093779348147
