P_norm,24h X_t,24h X_t-1,24h X_t-2,24h X_t-3,24h X_t-4,Xt
0.445783133,8.428093,8.317358,8.2534685,8.2294035,8.106733,8.51762182
0.409638554,8.453943,8.428093,8.317358,8.2534685,8.2294035,8.355955428
0.397590361,8.362135,8.453943,8.428093,8.317358,8.2534685,8.626411325
0.385542169,8.18324,8.362135,8.453943,8.428093,8.317358,9.176501756
0.385542169,7.953359,8.18324,8.362135,8.453943,8.428093,9.628446375
0.397590361,7.726482,7.953359,8.18324,8.362135,8.453943,9.764875998
0.421686747,7.537161,7.726482,7.953359,8.18324,8.362135,9.744392575
0.43373494,7.4156413,7.537161,7.726482,7.953359,8.18324,9.816625309
0.493975904,7.3705916,7.4156413,7.537161,7.726482,7.953359,10.0593129
0.481927711,7.3718085,7.3705916,7.4156413,7.537161,7.726482,8.96794424
0.542168675,7.210929,7.3718085,7.3705916,7.4156413,7.537161,8.957694528
0.602409639,6.959199,7.210929,7.3718085,7.3705916,7.4156413,9.658332628
0.530120482,6.772297,6.959199,7.210929,7.3718085,7.3705916,9.562382
0.397590361,6.5986056,6.772297,6.959199,7.210929,7.3718085,9.061262503
0.277108434,6.3869915,6.5986056,6.772297,6.959199,7.210929,8.554888544
0.21686747,6.1486073,6.3869915,6.5986056,6.772297,6.959199,8.221770302
0.21686747,5.9420404,6.1486073,6.3869915,6.5986056,6.772297,7.977593137
0.228915663,5.8236237,5.9420404,6.1486073,6.3869915,6.5986056,8.218830888
0.240963855,5.8518333,5.8236237,5.9420404,6.1486073,6.3869915,9.25181057
0.265060241,6.066764,5.8518333,5.8236237,5.9420404,6.1486073,9.654198324
0.301204819,6.350085,6.066764,5.8518333,5.8236237,5.9420404,9.50835823
0.301204819,6.6050916,6.350085,6.066764,5.8518333,5.8236237,9.305710997
0.325301205,6.813618,6.6050916,6.350085,6.066764,5.8518333,9.35241727
0.34939759,6.990412,6.813618,6.6050916,6.350085,6.066764,9.443549443
0.34939759,7.147138,6.990412,6.813618,6.6050916,6.350085,9.503777075
