,,Power,Xt,P,P_norm,24h X_t,24h X_t-1,24h X_t-2,24h X_t-3,24h X_t-4,,1h
2022/1/22,1:00:00,0.674346693,8.51762182,1024.3,0.445783133,8.428093,8.317358,8.2534685,8.2294035,8.106733,,8.921088219
2022/1/22,2:00:00,0.637132967,8.355955428,1024,0.409638554,8.453943,8.428093,8.317358,8.2534685,8.2294035,,8.351918221
2022/1/22,3:00:00,0.702253632,8.626411325,1023.9,0.397590361,8.362135,8.453943,8.428093,8.317358,8.2534685,,8.334478378
2022/1/22,4:00:00,0.839482486,9.176501756,1023.8,0.385542169,8.18324,8.362135,8.453943,8.428093,8.317358,,8.799489021
2022/1/22,5:00:00,0.961601683,9.628446375,1023.8,0.385542169,7.953359,8.18324,8.362135,8.453943,8.428093,,9.455511093
2022/1/22,6:00:00,0.996541645,9.764875998,1023.9,0.397590361,7.726482,7.953359,8.18324,8.362135,8.453943,,9.753307343
2022/1/22,7:00:00,0.989959765,9.744392575,1024.1,0.421686747,7.537161,7.726482,7.953359,8.18324,8.362135,,9.648151398
2022/1/22,8:00:00,1.009928688,9.816625309,1024.2,0.43373494,7.4156413,7.537161,7.726482,7.953359,8.18324,,9.537613869
2022/1/22,9:00:00,1.07796035,10.0593129,1024.7,0.493975904,7.3705916,7.4156413,7.537161,7.726482,7.953359,,9.65982914
2022/1/22,10:00:00,0.779367048,8.96794424,1024.6,0.481927711,7.3718085,7.3705916,7.4156413,7.537161,7.726482,,9.973667145
2022/1/22,11:00:00,0.769055519,8.957694528,1025.1,0.542168675,7.210929,7.3718085,7.3705916,7.4156413,7.537161,,7.851127625
2022/1/22,12:00:00,0.944006243,9.658332628,1025.6,0.602409639,6.959199,7.210929,7.3718085,7.3705916,7.4156413,,9.111311913
2022/1/22,13:00:00,0.910672573,9.562382,1025,0.530120482,6.772297,6.959199,7.210929,7.3718085,7.3705916,,9.721912384
2022/1/22,14:00:00,0.774479682,9.061262503,1023.9,0.397590361,6.5986056,6.772297,6.959199,7.210929,7.3718085,,9.163200378
2022/1/22,15:00:00,0.654188634,8.554888544,1022.9,0.277108434,6.3869915,6.5986056,6.772297,6.959199,7.210929,,8.559609413
2022/1/22,16:00:00,0.577762953,8.221770302,1022.4,0.21686747,6.1486073,6.3869915,6.5986056,6.772297,6.959199,,8.079185486
2022/1/22,17:00:00,0.524429409,7.977593137,1022.4,0.21686747,5.9420404,6.1486073,6.3869915,6.5986056,6.772297,,7.889092445
2022/1/22,18:00:00,0.583020529,8.218830888,1022.5,0.228915663,5.8236237,5.9420404,6.1486073,6.3869915,6.5986056,,7.702606201
2022/1/22,19:00:00,0.838887109,9.25181057,1022.6,0.240963855,5.8518333,5.8236237,5.9420404,6.1486073,6.3869915,,8.300844193
2022/1/22,20:00:00,0.94938999,9.654198324,1022.8,0.265060241,6.066764,5.8518333,5.8236237,5.9420404,6.1486073,,9.791721344
2022/1/22,21:00:00,0.913810372,9.50835823,1023.1,0.301204819,6.350085,6.066764,5.8518333,5.8236237,5.9420404,,9.54059124
